route_id,service_id,trip_id,trip_headsign,shape_id,block_id
15,1745,2183432:563868:568451,Cataraqui Centre,1842,568451
16,1755,2192643:563869:568422,First Canada,1852,568422
502,1755,2199466:563870:568910,Express - Downtown via Bayridge/Front,1516,568910
4,1745,2183406:563871:568564,Downtown via Princess St,1170,568564
7,1753,2181699:563872:568916,Cataraqui Centre,1418,568916
7,1758,2181699:563872:569197,Cataraqui Centre,1418,569197
602,1755,2182349:563873:568500,A - Express - Innovation / Highway 15,1574,568500
4,1746,2203866:563874:568446,Cataraqui Centre via Princess St,1502,568446
701,1755,2182192:563875:568242,Express - Cataraqui Centre via Downtown,1610,568242
4,1744,2193565:563876:568911,Cataraqui Centre via Princess St,1499,568911
601,1745,2183925:563877:568351,Express - Queen's/KGH via CFB Kingston,1832,568351
502,1744,2192942:563878:568402,Express - Downtown via Bayridge/Front,1516,568402
602,1746,2204253:563879:568322,Express - Innovation / Highway 15 via CFB,1576,568322
2,1745,2183179:563881:568482,Train Station,1820,568482
31,1745,2183206:563882:568496,Providence Care Hospital,1763,568496
12,1755,2182322:563883:568442,CFB Kingston,1791,568442
