route_id,service_id,trip_id,trip_headsign,shape_id,block_id
14,1746,2204048:564201:569188,Cataraqui North,1390,569188
16,1746,2203956:564202:569188,First Canada,1849,569188
501,1759,2192849:564203:569206,Express - Cataraqui Centre via Front/Bayridge,1506,569206
601,1744,2193909:564204:568458,Express - Queen's/KGH via CFB Kingston,1832,568458
601,1744,2193922:564205:568458,Express - Queen's/KGH via Downtown,648,568458
2,1755,2199584:564206:568414,Division Street,1793,568414
802,1746,2204188:564207:568991,Express - Montreal Street Park & Ride,1312,568991
6,1755,2181473:564208:568490,Cataraqui Centre,1781,568490
2,1744,2193044:564210:568569,Division Street,1796,568569
14,1755,2181773:564211:568941,Cataraqui North,1390,568941
19,1745,2183419:564214:568915,Cataraqui Centre,1300,568915
90B,1754,2203457:564215:568244,Loyalist Link - Bath,1692,568244
502,1745,2183327:564216:568975,Express - Downtown via Bayridge/Front,1516,568975
7,1746,2204083:564217:569174,Cataraqui Centre,1394,569174
801,1753,2182162:564218:568957,Express - Cataraqui Centre via Brock/Bath,1468,568957
801,1758,2182162:564218:569191,Express - Cataraqui Centre via Brock/Bath,1468,569191
4,1755,2199409:564219:569001,Downtown via Princess St,1169,569001
701,1755,2182199:564220:568892,Express - Cataraqui Centre via Downtown,1610,568892
602,1755,2181284:564221:568390,Express - Innovation / Highway 15 via CFB,1576,568390
701,1755,2182025:564222:568910,Express - Cataraqui Centre via Brock/Bath,1377,568910
16,1755,2192617:564223:568568,First Canada,1849,568568
19,1744,2193527:564224:568984,Woodhaven,826,568984
31,1744,2192977:564225:568477,Providence Care Hospital,1763,568477
2,1755,2199580:564226:568414,Division Street,1784,568414
501,1753,2199334:564227:568945,Express - Cataraqui Centre via Front/Bayridge,1506,568945
501,1758,2199334:564227:569182,Express - Cataraqui Centre via Front/Bayridge,1506,569182
11,1760,2183297:564228:569186,Cataraqui Centre,1859,569186
602,1755,2182377:564229:568551,A - Express - Innovation / Highway 15,1574,568551
501,1759,2192854:564230:569206,Express - Cataraqui Centre via Front/Bayridge,1506,569206
701,1753,2182244:564231:568923,Express - Cataraqui Centre via Downtown,1610,568923
701,1758,2182244:564231:569185,Express - Cataraqui Centre via Downtown,1610,569185
601,1755,2182288:564232:568571,B - Express - Downtown,1828,568571
701,1745,2183933:564233:568964,Express - Cataraqui Centre via Brock/Bath,1377,568964
4,1744,2193551:564234:568521,Downtown via Princess St,1169,568521
502,1755,2199510:564235:568956,Express - Cataraqui Centre via Princess,1501,568956
90B,1754,2203465:564236:568407,Loyalist Link - Amherstview,1702,568407
19,1745,2183525:564237:568564,Cataraqui Centre,1300,568564
15,1755,2181592:564238:568283,Centre 70 Park & Ride,1841,568283
6,1755,2181530:564239:568504,Saint Lawrence College,1761,568504
502,1746,2203561:564240:568238,Express - Cataraqui Centre via Princess,1501,568238
19,1744,2193494:564241:568982,Woodhaven,826,568982
